"","query","lat","lon","lat_min","lat_max","lon_min","lon_max"
"1193","UNIT I STREET SW WASHINGTON, DC 20024 UNITED STATES",38.8792882,-77.0197641,38.879288,38.8792906,-77.0198975,-77.0189151
"1194","3900 EAST CAPITOL STREET NE WASHINGTON, DC 20019 UNITED STATES",38.889902,-76.948651,38.889852,38.889952,-76.948701,-76.948601
"1195","500 K STREET NW WASHINGTON, DC 20001 UNITED STATES",38.9022704,-77.0191687,38.9022204,38.9023204,-77.0192187,-77.0191187
"1196","400 N STREET NW WASHINGTON, DC 20001 UNITED STATES",38.907154,-77.016333,38.907104,38.907204,-77.016383,-77.016283
"1197","1100 48TH PLACE NE WASHINGTON, DC 20019 UNITED STATES",38.9048261,-76.9329128786112,38.9047977,38.9048547,-76.9329879,-76.9328379
"1198","1800 BRUCE PLACE SE WASHINGTON, DC 20020 UNITED STATES",38.850603,-76.979684,38.850553,38.850653,-76.979734,-76.979634
"1199","2900 SOUTHERN AVENUE SE WASHINGTON, DC 20020 UNITED STATES",38.849594,-76.965065,38.849544,38.849644,-76.965115,-76.965015
"1200","3500 WATER STREET NW WASHINGTON, DC 20007 UNITED STATES",38.903083,-77.0650056,38.9025658,38.9038609,-77.0676948,-77.0627511
"1201","1600 V STREET NW WASHINGTON, DC 20009 UNITED STATES",38.918031,-77.036658,38.917981,38.918081,-77.036708,-77.036608
"1202","100 M STREET SE WASHINGTON, DC 20003 UNITED STATES",38.8765434,-76.9906633,38.8765434,38.8765469,-76.9914365,-76.9904179
"1203","300 TINGEY STREET SE WASHINGTON, DC 20003 UNITED STATES",38.8750965,-77.0006981,38.8750465,38.8751465,-77.0007481,-77.0006481
"1204","100 M STREET SE WASHINGTON, DC 20003 UNITED STATES",38.8765434,-76.9906633,38.8765434,38.8765469,-76.9914365,-76.9904179
"1205","3500 WATER STREET NW WASHINGTON, DC 20007 UNITED STATES",38.903083,-77.0650056,38.9025658,38.9038609,-77.0676948,-77.0627511
"1206","1700 V STREET SE WASHINGTON, DC 20020 UNITED STATES",38.864125,-76.9799,38.864075,38.864175,-76.97995,-76.97985
"1207","1100 48TH PLACE NE WASHINGTON, DC 20019 UNITED STATES",38.9048261,-76.9329128786112,38.9047977,38.9048547,-76.9329879,-76.9328379
"1208","3500 WATER STREET NW WASHINGTON, DC 20007 UNITED STATES",38.903083,-77.0650056,38.9025658,38.9038609,-77.0676948,-77.0627511
"1209","5200 JUST STREET NE WASHINGTON, DC 20019 UNITED STATES",38.902899,-76.925121,38.902849,38.902949,-76.925171,-76.925071
"1210","600 7TH STREET NW WASHINGTON, DC 20001 UNITED STATES",38.897399,-77.022021,38.897349,38.897449,-77.022071,-77.021971
"1211","100 M STREET SE WASHINGTON, DC 20003 UNITED STATES",38.8765434,-76.9906633,38.8765434,38.8765469,-76.9914365,-76.9904179
"1212","200 M STREET NE WASHINGTON, DC 20002 UNITED STATES",38.905728,-77.002903,38.905678,38.905778,-77.002953,-77.002853
"1213","700 H STREET NW WASHINGTON, DC 20001 UNITED STATES",38.899731,-77.022073,38.899681,38.899781,-77.022123,-77.022023
"1214","2200 25TH PLACE NE WASHINGTON, DC 20018 UNITED STATES",38.920169,-76.970452,38.920119,38.920219,-76.970502,-76.970402
"1215","300 DELAFIELD PLACE NW WASHINGTON, DC 20011 UNITED STATES",38.949237,-77.015902,38.949187,38.949287,-77.015952,-77.015852
"1216","300 37TH STREET SE WASHINGTON, DC 20019 UNITED STATES",38.88560445,-76.9527091624161,38.8855297,38.8856816,-76.9528684,-76.9525499
"1217","100 M STREET SE WASHINGTON, DC 20003 UNITED STATES",38.8765434,-76.9906633,38.8765434,38.8765469,-76.9914365,-76.9904179
"1218","700 COLUMBIA ROAD NW WASHINGTON, DC 20001 UNITED STATES",38.928747,-77.01841,38.92865,38.929148,-77.0193893,-77.0179452
"1219","600 H STREET NW WASHINGTON, DC 20001 UNITED STATES",38.899729,-77.020068,38.899679,38.899779,-77.020118,-77.020018
"1220","300 37TH STREET SE WASHINGTON, DC 20019 UNITED STATES",38.88560445,-76.9527091624161,38.8855297,38.8856816,-76.9528684,-76.9525499
